pr,repo,number,path,additions,deletions
odoo/design-themes#1229,odoo/design-themes,1229,test_themes/models/ir_http.py,4,6
odoo/design-themes#1229,odoo/design-themes,1229,test_themes/tests/test_crawl.py,24,5
odoo/design-themes#1229,odoo/design-themes,1229,test_themes/tests/test_new_page_templates.py,1,1
odoo/design-themes#1229,odoo/design-themes,1229,theme_test_custo/tests/test_theme_creation.py,1,1
odoo/design-themes#1229,odoo/design-themes,1229,theme_test_custo/views/footer.xml,1,1
odoo/design-themes#1247,odoo/design-themes,1247,test_themes/tests/test_new_page_templates.py,2,4
odoo/design-themes#1247,odoo/design-themes,1247,theme_anelusia/views/snippets/s_bento_grid.xml,1,1
odoo/design-themes#1247,odoo/design-themes,1247,theme_avantgarde/views/customizations.xml,1,1
odoo/design-themes#1247,odoo/design-themes,1247,theme_bookstore/views/snippets/s_banner.xml,1,1
odoo/design-themes#1247,odoo/design-themes,1247,theme_bookstore/views/snippets/s_cta_box.xml,1,1
odoo/design-themes#1247,odoo/design-themes,1247,theme_nano/views/snippets/s_discovery.xml,1,1
odoo/design-themes#1247,odoo/design-themes,1247,theme_odoo_experts/views/snippets/s_showcase.xml,3,3
odoo/design-themes#1247,odoo/design-themes,1247,theme_test_custo/data/menu.xml,4,4
odoo/design-themes#1247,odoo/design-themes,1247,theme_test_custo/static/tests/tours/theme_menu_hierarchies.js,1,1
odoo/design-themes#1247,odoo/design-themes,1247,theme_treehouse/views/snippets/s_references.xml,1,1
odoo/design-themes#1247,odoo/design-themes,1247,theme_yes/views/snippets/s_features.xml,3,3
odoo/design-themes#1247,odoo/design-themes,1247,theme_zap/views/snippets/s_discovery.xml,1,1
odoo/design-themes#1250,odoo/design-themes,1250,theme_anelusia/views/snippets/s_image_gallery.xml,2,2
odoo/design-themes#1252,odoo/design-themes,1252,.weblate.json,5,0
odoo/design-themes#1252,odoo/design-themes,1252,test_themes/__manifest__.py,1,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/LICENSE,27,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/__init__.py,2,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/__manifest__.py,32,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/data/generate_primary_template.xml,9,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/data/ir_asset.xml,10,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/models/__init__.py,2,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/models/theme_care.py,10,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/description/care_cover.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/description/care_screenshot.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/description/index.html,1,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/description/preview.html,1709,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_4.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_5.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_6.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_7.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_8.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_md_9.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_xl_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_xl_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/landscape_xl_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/portrait_lg_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/portrait_lg_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/portrait_lg_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_1_landscape_md_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_1_landscape_md_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_1_landscape_md_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_2_square_md_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_2_square_md_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_2_square_md_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_2_square_md_4.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_2_square_md_5.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_2_square_md_6.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_2_square_md_7.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_avatars_square_md_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_avatars_square_md_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_avatars_square_md_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_avatars_square_md_4.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_avatars_square_md_5.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_avatars_square_md_6.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_landscape_lg_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_landscape_lg_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_landscape_lg_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_landscape_lg_4.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_portrait_md_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_square_md_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_square_md_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_square_md_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_square_md_4.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_square_md_5.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_catalog_square_md_6.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/set_doers_portrait_lg_1.webp,0,0
