staging_id,staged_at,date,hour,duration_s,state,n_batches,n_prs,reason,failing_contexts,verdict,indeterministic,cause_kind,culprit_prs,retried_by_human,concurrent_same_context_failures
159545,2026-04-16T18:06:08Z,2026-04-16,18,2127,failed,2,2,,odoo/odoo: ci/runbot,attributed_to_flaky,1,ci_failure,odoo/odoo#251795,0,0
159549,2026-04-16T18:41:42Z,2026-04-16,18,1140,failed,1,1,ci/runbot on c3fa3f5308f620daac482f212b8c2abf58d34a9b (view more at https://runbot.odoo.com/runbot/batch/2478149/build/107679018),odoo/enterprise: ci/runbot,flaky_retry,1,ci_failure,,1,1
159550,2026-04-16T19:01:47Z,2026-04-16,19,3088,failed,16,22,,odoo/enterprise: ci/runbot,no_culprit,1,ci_failure,,0,1
159553,2026-04-16T19:53:42Z,2026-04-16,19,6089,merged,8,12,,,,,,,,
159557,2026-04-16T21:35:36Z,2026-04-16,21,2952,failed,8,10,,odoo/enterprise: ci/runbot,no_culprit,1,ci_failure,,0,0
159560,2026-04-16T22:25:05Z,2026-04-16,22,5472,merged,4,6,,,,,,,,
159562,2026-04-16T23:56:30Z,2026-04-16,23,5700,merged,4,4,,,,,,,,
159566,2026-04-17T01:32:05Z,2026-04-17,01,1672,failed,16,16,,odoo/enterprise: ci/runbot,attributed_to_flaky,1,ci_failure,odoo/odoo#257088,0,0
159567,2026-04-17T02:00:18Z,2026-04-17,02,1319,failed,8,8,,odoo/enterprise: ci/runbot,attributed_to_flaky,1,ci_failure,odoo/odoo#257088,0,0
159568,2026-04-17T02:22:30Z,2026-04-17,02,2347,failed,4,4,,odoo/enterprise: ci/runbot,attributed_to_flaky,1,ci_failure,odoo/odoo#257088,0,0
159569,2026-04-17T03:01:46Z,2026-04-17,03,2404,failed,2,2,,odoo/enterprise: ci/runbot,attributed_to_flaky,1,ci_failure,odoo/odoo#257088,0,0
159570,2026-04-17T03:41:58Z,2026-04-17,03,3820,merged,1,1,,,,,,,,
159572,2026-04-17T04:45:45Z,2026-04-17,04,1439,failed,1,1,ci/runbot on c6df86a126b91d97e3b4e9a827b4378e7ea645cd (view more at https://runbot.odoo.com/runbot/batch/2478358/build/107710913),odoo/enterprise: ci/runbot,flaky_retry,1,ci_failure,,1,2
159577,2026-04-17T05:10:16Z,2026-04-17,05,1081,failed,15,16,,odoo/enterprise: ci/runbot,no_culprit,1,ci_failure,,0,1
159580,2026-04-17T05:28:37Z,2026-04-17,05,2587,failed,8,8,,odoo/enterprise: ci/runbot,no_culprit,1,ci_failure,,0,1
159589,2026-04-17T06:11:56Z,2026-04-17,06,4320,merged,4,4,,,,,,,,
159598,2026-04-17T07:24:08Z,2026-04-17,07,1284,failed,4,4,,odoo/enterprise: ci/runbot,no_culprit,1,ci_failure,,0,0
159603,2026-04-17T07:45:41Z,2026-04-17,07,4914,merged,2,2,,,,,,,,
159610,2026-04-17T09:07:44Z,2026-04-17,09,4181,merged,2,2,,,,,,,,
159619,2026-04-17T10:17:45Z,2026-04-17,10,3032,failed,7,8,,odoo/odoo: ci/runbot,no_culprit,1,ci_failure,,0,0
159624,2026-04-17T11:08:31Z,2026-04-17,11,2708,failed,4,4,,odoo/enterprise: ci/runbot,no_culprit,1,ci_failure,,0,0
159631,2026-04-17T11:53:48Z,2026-04-17,11,4107,merged,2,2,,,,,,,,
159636,2026-04-17T13:02:45Z,2026-04-17,13,5331,merged,2,2,,,,,,,,
159643,2026-04-17T14:31:49Z,2026-04-17,14,4194,merged,3,4,,,,,,,,
159653,2026-04-17T15:43:09Z,2026-04-17,15,4237,merged,16,25,,,,,,,,
159664,2026-04-17T16:55:14Z,2026-04-17,16,2258,failed,16,23,,odoo/enterprise: ci/runbot,attributed_real,0,ci_failure,odoo/enterprise#105742,0,0
159669,2026-04-17T17:33:21Z,2026-04-17,17,3148,killed,8,11,odoo/odoo#243082 unreviewed (r-) by vchu-odoo,,,,,,,
159676,2026-04-17T18:26:17Z,2026-04-17,18,3592,failed,8,12,,odoo/enterprise: ci/runbot,attributed_real,0,ci_failure,odoo/enterprise#105742,0,0
159679,2026-04-17T19:26:23Z,2026-04-17,19,3233,failed,4,4,,odoo/enterprise: ci/runbot,attributed_real,0,ci_failure,odoo/enterprise#105742,0,0
159686,2026-04-17T20:20:25Z,2026-04-17,20,3173,failed,2,2,,odoo/enterprise: ci/runbot,attributed_real,0,ci_failure,odoo/enterprise#105742,0,0
159691,2026-04-17T21:13:24Z,2026-04-17,21,4682,merged,1,1,,,,,,,,
159705,2026-04-17T22:31:33Z,2026-04-17,22,3969,failed,1,1,ci/runbot (view more at https://runbot.odoo.com/runbot/batch/2480576/build/107829065),odoo/enterprise: ci/runbot,fixed,0,ci_failure,,1,0
159713,2026-04-17T23:39:05Z,2026-04-17,23,6510,merged,16,23,,,,,,,,
159722,2026-04-18T01:28:15Z,2026-04-18,01,1521,failed,16,18,,odoo/upgrade-util: ci/runbot,attributed_to_flaky,1,ci_failure,odoo/upgrade#9977,0,0
